City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,bredasdorp,-34.5322,20.0403,14.3,87,11,1.37,ZA,1731365837
83,ribeira grande,38.5167,-28.7,20.99,95,99,10.73,PT,1731365838
84,santo antonio,-6.3106,-35.4789,23.96,73,91,3.27,BR,1731365839
85,fomboni,-12.28,43.7425,27.53,78,56,3.64,KM,1731365840
86,puerto aysen,-45.4,-72.7,7.64,100,100,2.79,CL,1731365841
87,cidade velha,14.9167,-23.6167,26.26,61,0,5.14,CV,1731365842
88,mwinilunga,-11.7358,24.4293,16.75,97,100,1.26,ZM,1731365843
89,inzhavino,52.3185,42.4937,0.23,86,97,1.94,RU,1731365844
90,embi,48.8264,58.1442,-5.95,74,33,2.14,KZ,1731365846
91,sumperk,49.9653,16.9706,1.53,70,8,0.8,CZ,1731365847
92,federacion,-31.0062,-57.8996,16.97,87,100,3.49,AR,1731365848
93,alotau,-10.3069,150.4462,27.95,81,95,1.15,PG,1731365849
94,bonthe,7.5264,-12.505,26.67,83,25,2.12,SL,1731365850
95,kirakira,-10.4544,161.9205,28.64,77,86,4.65,SB,1731365852
96,luderitz,-26.6481,15.1594,14.96,82,1,7.12,NA,1731365853
97,dudinka,69.4058,86.1778,-24.27,94,46,5.26,RU,1731365854
98,tofol,5.3248,163.0078,29.88,74,75,2.57,FM,1731365855
99,ola,59.5833,151.2833,-12.75,73,100,5.65,RU,1731365589
100,bikenibeu village,1.3673,173.1241,30.98,74,20,3.6,KI,1731365666
101,port lincoln,-34.7333,135.8667,18.55,72,17,3.27,AU,1731365858
102,bhan,26.5583,67.7214,26.82,42,18,2.47,PK,1731365859
103,atafu village,-8.5421,-172.5159,28.46,73,6,7.45,TK,1731365860
104,at taj,24.2049,23.2857,15.95,33,1,3.32,LY,1731365862
105,badger,64.8,-147.5333,-15.91,81,0,1.54,US,1731365863
106,auki,-8.7676,160.7034,30.21,63,66,0.74,SB,1731365865
107,pangody,65.85,74.4859,-21.99,98,99,4.61,RU,1731365866
108,astrakhan,46.3497,48.0408,4.93,93,100,3.0,RU,1731365867
109,aguadilla,18.4275,-67.1541,27.16,92,0,1.54,PR,1731365868
110,leh,34.1667,77.5833,-4.2,64,83,2.74,IN,1731365813
111,midvagur,62.0511,-7.1939,10.46,93,100,6.69,FO,1731365870
112,hamilton,39.1834,-84.5333,15.79,68,0,3.58,US,1731365871
113,constitucion,-35.3333,-72.4167,15.7,64,19,8.12,CL,1731365872
114,pitimbu,-7.4706,-34.8086,25.72,75,97,2.76,BR,1731365814
115,aasiaat,68.7098,-52.8699,-2.31,77,99,6.38,GL,1731365874
116,clorinda,-25.2848,-57.7185,26.09,73,55,8.42,AR,1731365876
117,cabo san lucas,22.8909,-109.9124,28.2,59,50,1.34,MX,1731365638
118,vydrino,51.485,104.8461,3.95,45,100,1.45,RU,1731365878
119,opuwo,-18.0607,13.84,20.51,41,25,1.0,NA,1731365879
120,nuuk,64.1835,-51.7216,-2.29,79,100,4.04,GL,1731365880
121,nonsan,36.2039,127.0847,12.16,87,64,0.35,KR,1731365881
122,margaret river,-33.95,115.0667,15.77,69,99,4.67,AU,1731365882
123,lebu,-37.6167,-73.65,12.15,72,82,7.51,CL,1731365883
124,p'ot'i,42.1462,41.672,12.2,84,100,3.21,GE,1731365884
125,kerikeri,-35.2268,173.9474,20.35,53,17,3.44,NZ,1731365885
126,college,64.8569,-147.8028,-15.86,81,75,1.54,US,1731365840
127,paulden,34.8856,-112.4682,21.92,12,0,5.81,US,1731365887
128,prince rupert,54.3161,-130.3201,8.05,80,100,5.66,CA,1731365888
129,carnarvon,-24.8667,113.6333,21.06,61,12,9.41,AU,1731365889
130,kostanay,53.1667,63.5833,-12.84,92,75,3.0,KZ,1731365822
131,lompoc,34.6391,-120.4579,20.94,76,100,5.66,US,1731365891
132,sisimiut,66.9395,-53.6735,-5.32,93,99,2.64,GL,1731365893
133,sao miguel do araguaia,-13.275,-50.1628,23.3,93,96,2.7,BR,1731365894
134,vorgashor,67.5833,63.95,-13.69,96,99,2.99,RU,1731365895
135,kapa'a,22.0752,-159.319,26.18,91,100,6.17,US,1731365896
136,cole harbour,44.6724,-63.4751,12.33,92,100,4.47,CA,1731365897
137,bargaal,11.2864,51.0773,24.65,78,15,2.81,SO,1731365898
138,haiku-pauwela,20.9219,-156.3051,27.92,65,40,11.18,US,1731365899
139,hasaki,35.7333,140.8333,18.91,60,1,2.14,JP,1731365900
140,plakhtiyivka,46.1006,29.7217,5.69,78,100,4.43,UA,1731365901
141,abepura,-2.6333,140.5833,26.45,89,20,2.57,ID,1731365902
142,talnakh,69.4865,88.3972,-28.15,91,51,0.96,RU,1731365903
143,bilibino,68.0546,166.4372,-23.55,97,68,1.92,RU,1731365904
144,vallenar,-28.5708,-70.7581,25.83,30,0,2.32,CL,1731365905
145,nieuw amsterdam,5.8833,-55.0833,26.01,89,40,2.57,SR,1731365906
146,ust-nera,64.5667,143.2,-30.32,99,87,0.84,RU,1731365907
147,coquimbo,-29.9533,-71.3436,18.85,62,0,4.12,CL,1731365597
148,tura,25.5198,90.2201,17.71,91,0,1.66,IN,1731365909
149,labrador city,52.9463,-66.9114,-2.68,79,100,1.54,CA,1731365911
150,point fortin,10.1833,-61.6833,28.34,78,78,5.8,TT,1731365912
151,conception bay south,47.4999,-52.9981,7.08,88,100,3.83,CA,1731365913
152,pimentel,-6.8367,-79.9342,22.16,64,0,11.32,PE,1731365914
153,kapuskasing,49.4169,-82.4331,-0.95,93,100,7.72,CA,1731365915
154,lihue,21.9789,-159.3672,25.77,92,100,6.17,US,1731365916
155,iqaluit,63.7506,-68.5145,-9.15,78,75,1.03,CA,1731365917
156,tagab,34.855,69.6492,8.48,21,48,0.25,AF,1731365918
157,puerto ayora,-0.7393,-90.3518,23.08,83,77,3.58,EC,1731365919
158,mogadishu,2.0371,45.3438,26.38,84,88,5.51,SO,1731365920
159,constantia,44.1833,28.65,4.38,77,100,6.59,RO,1731365921
160,el paso,31.8001,-106.2005,23.16,16,75,1.54,US,1731365914
161,taoudenni,22.6783,-3.9836,25.05,17,27,3.22,ML,1731365923
162,nouadhibou,20.931,-17.0347,20.75,75,0,6.31,MR,1731365714
163,massawa,15.6097,39.45,28.34,69,4,1.34,ER,1731365925
164,loveland,40.3978,-105.075,14.71,42,0,1.79,US,1731365926
165,nguigmi,14.2495,13.1092,24.35,26,0,5.46,NE,1731365928
166,brady,31.1352,-99.3351,25.25,25,0,0.0,US,1731365929
167,mulayjah,27.271,48.4242,24.2,37,22,2.37,SA,1731365930
168,traunreut,47.9627,12.5923,2.9,93,89,1.79,DE,1731365931
169,luau,-10.7073,22.2247,17.5,96,81,1.17,AO,1731365932
170,fortuna,40.5982,-124.1573,14.99,72,40,3.09,US,1731365933
171,mutuali,-14.8706,37.0044,24.73,55,0,1.89,MZ,1731365934
172,trinidad,-14.8333,-64.9,27.99,78,75,3.09,BO,1731365936
173,chernyshevskiy,63.0128,112.4714,-13.53,97,100,0.98,RU,1731365937
174,udachny,66.4167,112.4,-25.51,100,100,1.6,RU,1731365938
175,podgornoye,51.735,39.1496,1.12,69,75,2.0,RU,1731365939
176,pionerskiy,54.9508,20.2275,1.91,68,1,2.0,RU,1731365940
177,salinopolis,-0.6136,-47.3561,26.77,79,100,5.65,BR,1731365941
178,afaahiti,-17.75,-149.2833,23.42,84,100,6.8,PF,1731365942
179,santa cruz,-17.8,-63.1667,32.03,58,20,5.66,BO,1731365924
180,tha yang,12.9577,99.9055,23.13,89,86,2.86,TH,1731365945
181,paradip garh,20.3167,86.6167,23.58,71,72,3.87,IN,1731365947
182,chonchi,-42.6128,-73.8092,11.73,86,100,1.76,CL,1731365948
183,pearsall,28.8922,-99.095,28.84,41,15,2.07,US,1731365949
